,index,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
0,0,Washington,2763.519279,No,Basic,Bachelor,2011-02-24,Employed,F,56274.0,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,Medsize
1,1,Arizona,6979.535903,No,Extended,Bachelor,2011-01-31,Unemployed,F,0.0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Offer3,Agent,1131.464935,Four-Door Car,Medsize
2,2,Nevada,12887.43165,No,Premium,Bachelor,2011-02-19,Employed,F,48767.0,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,566.472247,Two-Door Car,Medsize
3,3,California,7645.861827,No,Basic,Bachelor,2011-01-20,Unemployed,M,0.0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize
4,4,Washington,2813.692575,No,Basic,Bachelor,2011-02-03,Employed,M,43836.0,Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Offer1,Agent,138.130879,Four-Door Car,Medsize
5,5,Oregon,8256.2978,Yes,Basic,Bachelor,2011-01-25,Employed,F,62902.0,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medsize
6,6,Oregon,5380.898636,Yes,Basic,College,2011-02-24,Employed,F,55350.0,Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,Medsize
7,7,Arizona,7216.100311,No,Premium,Master,2011-01-18,Unemployed,M,0.0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,Medsize
8,9,Oregon,7388.178085,No,Extended,College,2011-02-17,Employed,F,28812.0,Urban,Married,93,17,7,0,8,Special Auto,Special L2,Offer2,Branch,425.527834,Four-Door Car,Medsize
9,10,California,4738.992022,No,Basic,College,2011-02-21,Unemployed,M,0.0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,Small
10,11,California,8197.197078,No,Basic,College,2011-01-06,Unemployed,F,0.0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,Medsize
11,12,California,8798.797003,No,Premium,Master,2011-02-06,Employed,M,77026.0,Urban,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,Medsize
12,13,Arizona,8819.018934,Yes,Basic,High School or Below,2011-01-10,Employed,M,99845.0,Suburban,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Offer2,Branch,528.0,SUV,Medsize
13,14,California,5384.431665,No,Basic,College,2011-01-18,Employed,M,83689.0,Urban,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,Medsize
14,15,Oregon,7463.139377,No,Basic,Bachelor,2011-01-17,Employed,F,24599.0,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,Medsize
15,16,Nevada,2566.867823,No,Basic,High School or Below,2011-02-06,Medical Leave,M,25049.0,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,Medsize
16,17,California,3945.241604,No,Basic,College,2011-01-05,Medical Leave,M,28855.0,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize
17,18,Oregon,5710.333115,No,Basic,College,2011-02-27,Employed,M,51148.0,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,308.981664,Four-Door Car,Medsize
18,19,California,8162.617053,No,Premium,High School or Below,2011-01-14,Employed,F,66140.0,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,Small
19,20,Oregon,2872.051273,No,Basic,High School or Below,2011-02-19,Employed,M,57749.0,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,355.2,Two-Door Car,Medsize
20,21,Washington,3041.791561,No,Extended,Bachelor,2011-01-21,Disabled,F,13789.0,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,379.2,Four-Door Car,Medsize
21,23,Nevada,2450.190996,No,Basic,Bachelor,2011-02-24,Unemployed,F,0.0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Offer1,Branch,554.376763,Four-Door Car,Medsize
22,24,California,2392.10789,No,Basic,Bachelor,2011-02-05,Disabled,F,17870.0,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.2,Four-Door Car,Medsize
23,25,Oregon,5802.065978,No,Basic,College,2011-01-29,Employed,M,97541.0,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389.185006,Four-Door Car,Large
24,26,California,3946.372085,No,Premium,Bachelor,2011-02-28,Unemployed,F,0.0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,799.2,Four-Door Car,Small
25,27,Washington,5346.916576,No,Extended,Master,2011-02-12,Disabled,F,10511.0,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,516.237951,SUV,Medsize
26,28,Arizona,12902.56014,No,Premium,College,2011-02-02,Employed,F,86584.0,Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large
27,29,Oregon,3235.360468,No,Extended,Master,2011-02-07,Employed,F,75690.0,Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Offer2,Branch,384.0,Four-Door Car,Small
28,30,Arizona,2454.58354,No,Basic,College,2011-02-28,Employed,M,23158.0,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,Small
29,32,California,4715.321344,No,Basic,Bachelor,2011-01-25,Unemployed,M,0.0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,308.15089,Four-Door Car,Medsize
30,33,Washington,5018.885233,No,Basic,Bachelor,2011-01-18,Employed,M,54500.0,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
31,34,Oregon,4932.916345,No,Basic,Bachelor,2011-02-13,Employed,F,37260.0,Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,15.437681,Four-Door Car,Medsize
32,35,Arizona,5744.229745,No,Basic,High School or Below,2011-01-15,Employed,F,68987.0,Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize
33,36,California,13891.73567,No,Premium,Bachelor,2011-01-08,Employed,M,42305.0,Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,561.6,Four-Door Car,Small
34,37,Oregon,7380.976717,No,Extended,Master,2011-02-06,Employed,F,65706.0,Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,436.8,Four-Door Car,Small
35,38,Oregon,3090.034104,No,Extended,Bachelor,2011-01-25,Unemployed,M,0.0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,648.0,Two-Door Car,Small
36,39,Arizona,2521.633095,No,Basic,High School or Below,2011-02-07,Employed,M,53243.0,Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Offer1,Call Center,157.397849,Four-Door Car,Medsize
37,40,Nevada,2652.061785,No,Basic,High School or Below,2011-01-18,Unemployed,F,0.0,Suburban,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Offer3,Call Center,484.318536,Two-Door Car,Medsize
38,41,Oregon,2771.045031,Yes,Basic,College,2011-01-11,Employed,F,50071.0,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,18.918935,Two-Door Car,Medsize
39,42,California,3939.00637,Yes,Extended,Bachelor,2011-01-28,Employed,F,60021.0,Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,882.871945,Four-Door Car,Small
40,43,Arizona,12231.87968,No,Basic,High School or Below,2011-02-08,Employed,M,43244.0,Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,494.4,Sports Car,Medsize
41,44,Washington,2443.665166,No,Basic,College,2011-02-23,Employed,M,92834.0,Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,292.8,Four-Door Car,Large
42,45,Oregon,12819.10289,No,Premium,Doctor,2011-01-25,Disabled,F,10105.0,Rural,Married,172,5,4,3,3,Personal Auto,Personal L2,Offer1,Branch,0.517753,SUV,Medsize
43,46,Arizona,4468.510542,No,Basic,Bachelor,2011-01-31,Unemployed,M,0.0,Suburban,Single,73,7,57,3,5,Personal Auto,Personal L3,Offer3,Call Center,579.165954,Four-Door Car,Medsize
